Motor voltage	TDH m	Motor amps	LPM	Motor watts	Efficiency
210	0.0	10.2	130.9	2138	0
210	7.0	10.2	127.0	2144	7
210	14.1	10.3	123.1	2153	13
210	21.1	10.3	118.7	2161	19
210	28.2	10.4	114.0	2174	24
210	35.2	10.4	109.4	2174	29
210	42.3	10.3	104.9	2165	33
210	49.3	10.3	100.2	2153	37
210	56.3	10.2	95.0	2142	41
210	63.4	10.2	89.5	2132	43
210	70.4	10.0	83.7	2108	46
210	77.5	9.9	77.4	2085	47
210	84.5	9.8	70.4	2054	47
210	91.6	9.5	63.4	2003	47
210	98.6	9.2	55.5	1932	46
210	105.6	8.7	47.3	1833	45
210	112.7	8.2	36.6	1728	39
210	119.7	7.8	23.4	1630	28
210	128.9	6.9	0.0	1445	0
225	0.0	11.5	139.7	2585	0
225	7.0	11.5	136.0	2590	6
225	14.1	11.5	131.8	2590	12
225	21.1	11.5	127.9	2590	17
225	28.2	11.5	124.0	2588	22
225	35.2	11.5	119.8	2592	27
225	42.3	11.5	115.3	2585	31
225	49.3	11.5	110.8	2583	35
225	56.3	11.5	106.1	2581	38
225	63.4	11.4	101.2	2574	41
225	70.4	11.4	96.2	2563	43
225	77.5	11.4	90.6	2554	45
225	84.5	11.2	85.0	2525	46
225	91.6	11.1	79.0	2489	47
225	98.6	10.8	72.6	2423	48
225	105.6	10.6	65.4	2378	47
225	112.7	10.2	57.8	2284	47
225	119.7	12.1	49.8	2725	36
225	126.8	9.2	38.9	2075	39
225	133.8	8.7	25.9	1951	29
225	144.4	7.4	0.0	1663	0
240	0.0	12.2	147.7	2921	0
240	7.0	12.2	143.8	2935	6
240	14.1	12.3	140.1	2954	11
240	21.1	12.4	136.4	2966	16
240	28.2	12.4	132.5	2971	21
240	35.2	12.4	128.3	2976	25
240	42.3	12.4	124.0	2976	29
240	49.3	12.4	119.6	2971	32
240	56.3	12.4	115.2	2966	36
240	63.4	12.3	110.6	2957	39
240	70.4	12.4	105.8	2971	41
240	77.5	12.3	100.9	2959	43
240	84.5	12.3	96.1	2945	45
240	91.6	12.2	91.3	2916	47
240	98.6	12.1	86.0	2894	48
240	105.6	11.9	80.0	2849	48
240	112.7	11.7	73.3	2798	48
240	119.7	11.4	66.6	2731	48
240	126.8	11.0	59.7	2640	47
240	133.8	10.5	51.9	2510	45
240	140.9	10.2	42.2	2441	40
240	147.9	9.8	30.2	2345	31
240	154.9	9.3	17.1	2230	19
240	162.0	8.3	0.0	2002	0
