Motor Voltage	TDH Meters	Motor Amps	LPM	Motor Watts	Efficiency
30	0.0	4.9	36.1	147	0
30	3.5	5.0	33.2	149	13
30	7.0	5.1	29.8	152	22
30	10.6	5.1	26.3	154	30
30	14.1	5.1	22.2	152	34
30	17.6	4.9	16.9	146	33
30	21.1	4.1	9.4	122	26
30	24.6	3.3	0.0	98	0
45	0.0	8.4	52.6	378	0
45	3.5	8.4	50.5	378	8
45	7.0	8.5	48.2	384	14
45	10.6	8.6	45.9	387	20
45	14.1	8.7	43.2	391	25
45	17.6	8.8	40.7	396	30
45	21.1	8.8	37.9	398	33
45	24.6	8.9	34.9	399	35
45	28.2	8.8	31.6	396	37
45	31.7	8.7	28.3	391	37
45	35.2	8.4	24.3	377	37
45	38.7	7.9	19.5	355	35
45	42.3	7.2	13.7	322	29
45	45.8	6.2	6.9	279	19
45	48.6	5.3	0.0	239	0
60	0.0	12.7	66.9	763	0
60	3.5	12.7	65.3	761	5
60	7.0	12.8	63.6	767	10
60	10.6	12.9	61.9	774	14
60	14.1	13.0	60.0	777	18
60	17.6	13.0	58.2	780	21
60	21.1	13.0	56.2	782	25
60	24.6	13.1	54.2	788	28
60	28.2	13.2	52.2	793	30
60	31.7	13.2	50.0	793	33
60	35.2	13.3	47.7	796	34
60	38.7	13.3	45.5	796	36
60	42.3	13.3	43.2	795	38
60	45.8	13.2	40.8	793	38
60	49.3	13.1	38.3	788	39
60	52.8	13.0	35.5	779	39
60	56.3	12.8	32.5	766	39
60	59.9	12.5	29.4	749	38
60	63.4	12.1	25.7	724	37
60	66.9	11.5	21.7	689	34
60	70.4	10.7	16.9	640	30
60	73.9	9.8	11.8	589	24
60	77.5	8.9	6.3	535	15
60	81.7	7.8	0.0	466	0
