Objet	Model	Type	Prix	Puissance	Controleur	Diametre sortie	Path	
SCS_45_116_180_BL	SCS 45-116-180 BL	Submersible	2092.5	3	PCC 180-BLS-M2S	2	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_45_116_180_BL.txt	
SCS_50_110_240_BL	SCS 50-110-240 BL	Submersible	2211	3.5	PCC 240-BLS-M2S	2	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_50_110_240_BL.txt	
SCS_71_70_180_BL	SCS 71-70-180 BL	Submersible	1961.55	2	PCC 180-BLS-M2S	2	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_71_70_180_BL.txt	
SCS_80_70_240_BL	SCS 80-70-240 BL	Submersible	2080.35	3	PCA 60-BLS-M2S	1.25	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_80_70_240_BL.txt	
SCS_87_70_240_BL	SCS 87-70-240 BL	Submersible	2398.95	3	PCC 240-BLS-M2S	2	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_87_70_240_BL.txt	
SCS_125_32_120_BL	SCS 125-32-120 BL	Submersible	2066.85	1.5	PCA 120-BLS-M2S	3	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_125_32_120_BL.txt	
SCS_130_32_180_BL	SCS 130-32-180 BL	Submersible	2170.8	3	PCC 180-BLS-M2S	3	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_130_32_180_BL.txt	
SCS_142_32_180_BL	SCS 142-32-180 BL	Submersible	2216.7	3	PCC 180-BLS-M2S	3	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_142_32_180_BL.txt	
SCS_150_37_240_BL	SCS 150-37-240 BL	Submersible	2334.15	3	PCC 240-BLS-M2S	3	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCS_150_37_240_BL.txt	
SCB_10_150_120_BL	SCB 10-150-120 BL	Surface	1029.99	1.5	PCA 120-BLS-M2S	1.25	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCB_10_150_120_BL.txt	
SCB_10_150_180_BL	SCB 10-150-180 BL	Surface	1102.95	3	PCC 180-BLS-M2S	1.25	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCB_10_150_180_BL.txt	
SCB_10_200_180_BL	SCB 10-200-180 BL	Surface	1144.95	3	PCC 180-BLS-M2S	1.25	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCB_10_200_180_BL.txt	
SCB_10_220_180_BL	SCB 10-220-180 BL	Surface	1156.99	3	PCC 180-BLS-M2S	1.25	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCB_10_220_180_BL.txt	
SCB_10_265_180_BL	SCB 10-265-180 BL	Surface	1199.02	3	PCC 180-BLS-M2S	1.25	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCB_10_265_180_BL.txt	
SCB_21_350_240_BL	SCB 21-350-240 BL	Surface	1333.59	3	PCC 240-BLS-M2S	1.25	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCB_10_350_240_BL.txt	
SCB_22_165_120_BL	SCB 22-165-120 BL	Surface	1041.97	1.5	PCA 120-BLS-M2S	1.25	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCB_22_165_120_BL.txt	
SCB_22_185_180_BL	SCB 22-185-180 BL	Surface	1136.15	3	PCC 180-BLS-M2S	1.25	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCB_22_185_180_BL.txt	
SCB_22_250_180_BL	SCB 22-250-180 BL	Surface	1212.5	3	PCC 180-BLS-M2S	1.25	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCB_22_250_180_BL.txt	
SCB_22_95_120_BL	SCB 22-95-120 BL	Surface	980.25	1.5	PCA 120-BLS-M2S	1.25	C:/Users/Admin/Desktop/Fichiers_phyton_du_cours/Projet/Fiches_pompes/SCB_22_95_120_BL.txt	
