Motor Voltage	TDH m	Motor Amps	LPM	Motor Watts	Efficiency
120	0.0	7.20	356.5	864	0
120	3.5	7.24	309.2	869	20
120	7.0	7.10	258.1	852	35
120	10.6	7.09	197.6	851	40
120	14.1	6.74	131.7	809	37
120	17.6	6.45	51.9	774	19
120	19.7	6.45	0.0	774	0
135	0.0	8.59	398.9	1160	0
135	3.5	8.65	353.5	1168	17
135	7.0	8.45	308.9	1141	31
135	10.6	8.51	258.1	1149	39
135	14.1	8.41	202.5	1135	41
135	17.6	8.02	140.0	1083	37
135	21.1	7.77	73.4	1049	24
135	24.6	7.69	0.0	1038	0
150	0.0	10.09	435.3	1514	0
150	3.5	10.15	396.3	1523	15
150	7.0	10.01	353.9	1502	27
150	10.6	9.93	308.9	1490	36
150	14.1	9.96	260.0	1494	40
150	17.6	9.61	207.0	1442	41
150	21.1	9.37	149.5	1406	37
150	24.6	9.09	85.2	1364	25
150	28.9	8.90	0.0	1335	0
165	0.0	11.59	470.5	1912	0
165	3.5	11.76	431.5	1940	13
165	7.0	11.65	393.6	1922	24
165	10.6	11.52	353.5	1901	32
165	14.1	11.57	310.7	1909	37
165	17.6	11.52	265.0	1901	40
165	21.1	11.16	217.6	1841	41
165	24.6	10.95	164.3	1807	37
165	28.2	10.83	103.0	1787	26
165	31.7	10.43	41.6	1721	13
165	33.8	10.39	0.0	1714	0
180	0.0	13.14	501.5	2365	0
180	3.5	13.04	466.7	2347	11
180	7.0	13.01	432.6	2342	21
180	10.6	12.84	394.0	2311	29
180	14.1	12.82	357.3	2308	36
180	17.6	12.89	315.7	2320	39
180	21.1	12.62	272.9	2272	41
180	24.6	12.43	225.6	2237	41
180	28.2	12.25	172.6	2205	36
180	31.7	12.03	117.7	2165	28
180	35.2	11.70	57.9	2106	16
180	38.0	11.62	0.0	2092	0
