Motor Voltage	TDH m	Motor Amps	LPM	Motor Watts	Efficiency
120	0.0	5.30	576.1	636	0
120	1.4	5.31	525.4	637	19
120	2.8	5.28	463.3	634	34
120	4.2	5.06	388.0	607	44
120	5.6	4.68	294.5	562	48
120	7.0	4.41	171.5	529	37
120	8.5	3.81	0.0	457	0
135	0.0	6.29	640.4	849	0
135	1.4	6.31	597.7	852	16
135	2.8	6.32	547.3	853	30
135	4.2	6.18	490.9	834	41
135	5.6	5.88	418.6	794	49
135	7.0	5.54	333.1	748	51
135	8.5	5.26	221.4	710	43
135	10.6	4.53	0.0	612	0
150	0.0	7.31	704.8	1097	0
150	1.4	7.33	663.1	1100	14
150	2.8	7.33	616.2	1100	26
150	4.2	7.24	565.5	1086	36
150	5.6	7.06	508.3	1059	44
150	7.0	6.73	438.7	1010	50
150	8.5	6.40	360.3	960	52
150	9.9	6.20	267.2	930	46
150	11.3	5.72	150.3	858	32
150	12.7	5.23	0.0	785	0
165	0.0	8.53	760.4	1407	0
165	1.4	8.58	723.3	1416	12
165	2.8	8.59	683.6	1417	22
165	4.2	8.56	637.8	1412	31
165	5.6	8.43	589.7	1391	39
165	7.0	8.21	534.4	1355	45
165	8.5	7.84	467.4	1294	50
165	9.9	7.52	393.6	1241	51
165	11.3	7.34	310.7	1211	47
165	12.7	6.90	203.3	1139	37
165	14.8	6.05	0.0	998	0
180	0.0	9.54	813.4	1717	0
180	1.4	9.58	782.0	1724	10
180	2.8	9.60	744.9	1728	20
180	4.2	9.61	706.3	1730	28
180	5.6	9.51	661.6	1712	36
180	7.0	9.36	611.7	1685	42
180	8.5	9.11	554.5	1640	47
180	9.9	8.76	493.2	1577	50
180	11.3	8.46	423.2	1523	51
180	12.7	8.33	345.9	1499	48
180	14.1	7.97	254.0	1435	41
180	15.5	7.41	137.4	1334	26
180	16.9	6.86	0.0	1235	0
