Motor Voltage	TDH m	Motor Amps	LPM	Motor Watts	Efficiency
60	0.0	4.5	73.7	268	0
60	3.5	4.5	67.7	272	14
60	7.0	4.5	61.7	272	26
60	10.6	4.4	54.3	265	35
60	14.1	4.2	46.1	254	42
60	17.6	3.8	32.7	229	41
60	21.1	2.6	0.0	156	0
75	0.0	6.3	91.7	470	0
75	3.5	6.3	87.1	472	11
75	7.0	6.3	82.3	475	20
75	10.6	6.3	77.0	474	28
75	14.1	6.3	71.6	470	35
75	17.6	6.1	64.8	459	41
75	21.1	5.9	58.5	442	46
75	24.6	5.5	50.0	416	48
75	28.2	5.1	36.8	383	44
75	32.4	3.4	0.0	258	0
90	0.0	8.3	107.2	747	0
90	7.0	8.4	100.0	752	15
90	10.6	8.4	95.8	754	22
90	14.1	8.4	91.7	753	28
90	21.1	8.2	82.3	740	38
90	24.6	8.1	76.4	732	42
90	28.2	7.9	70.1	708	46
90	35.2	7.3	54.6	653	48
90	38.7	6.8	44.3	614	46
90	42.3	6.0	28.8	542	37
90	46.5	4.5	0.0	406	0
105	0.0	10.4	123.5	1093	0
105	7.0	10.5	117.1	1097	12
105	14.1	10.5	110.2	1101	23
105	21.1	10.5	102.6	1100	32
105	28.2	10.3	93.4	1086	40
105	35.2	10.0	83.1	1053	45
105	42.3	9.5	70.3	993	49
105	49.3	8.7	55.7	918	49
105	56.3	7.6	33.6	794	39
105	59.9	6.6	17.2	693	24
105	62.7	5.5	0.0	579	0
120	0.0	12.6	137.9	1506	0
120	7.0	12.6	131.8	1507	10
120	14.1	12.6	125.2	1511	19
120	21.1	12.6	118.6	1513	27
120	28.2	12.5	111.4	1505	34
120	35.2	12.4	103.3	1486	40
120	42.3	12.1	94.0	1446	45
120	49.3	11.6	84.1	1394	49
120	56.3	11.1	71.9	1327	50
120	63.4	10.4	57.6	1242	48
120	70.4	9.0	37.3	1085	40
120	73.9	8.3	23.8	997	29
120	78.9	6.6	0.0	793	0
