Motor Voltage	TDH m	Motor Amps	LPM	Motor Watts	Efficiency
60	0.0	4.81	445.9	289	0
60	1.4	4.76	373.6	286	30
60	2.8	4.39	264.6	263	46
60	4.2	3.87	106.4	232	32
60	4.9	3.50	0.0	210	0
75	0.0	6.65	545.8	499	0
75	1.4	6.61	485.6	496	23
75	2.8	6.45	414.8	484	39
75	4.2	6.01	322.5	451	49
75	5.6	5.63	196.4	422	43
75	7.0	4.76	0.0	357	0
90	0.0	8.69	643.5	782	0
90	1.4	8.68	592.0	781	17
90	2.8	8.62	537.1	776	32
90	4.2	8.42	473.9	758	43
90	5.6	7.95	399.3	716	51
90	7.0	7.60	308.1	684	52
90	8.5	7.16	181.3	644	39
90	9.9	6.20	0.0	558	0
105	0.0	10.85	732.0	1139	0
105	1.4	10.84	685.8	1138	14
105	2.8	10.81	635.5	1135	26
105	4.2	10.75	583.3	1129	36
105	5.6	10.52	524.2	1105	44
105	7.0	10.11	459.9	1062	50
105	8.5	9.53	389.1	1001	54
105	9.9	9.41	294.5	988	48
105	11.3	8.81	156.7	925	31
105	12.3	7.77	0.0	816	0
120	0.0	13.11	831.2	1573	0
120	1.4	13.10	790.7	1572	12
120	2.8	13.08	749.8	1570	22
120	4.2	12.97	704.8	1556	31
120	5.6	12.77	655.2	1532	39
120	7.0	12.56	601.1	1507	46
120	8.5	12.06	540.9	1447	52
120	9.9	11.65	473.9	1398	55
120	11.3	11.31	397.4	1357	54
120	12.7	11.02	305.8	1322	48
120	14.1	10.53	181.3	1264	33
120	15.5	9.28	0.0	1114	0
