Motor Voltage	TDH m	Motor Amps	LPM	Motor Watts	Efficiency
75	0.0	4.84	187.0	363	0
75	3.5	5.48	167.3	411	23
75	7.0	5.74	140.8	431	38
75	10.6	5.71	106.7	428	43
75	14.1	4.67	57.2	350	38
75	17.6	3.55	0.0	266	0
90	0.0	6.35	223.3	572	0
90	3.5	6.99	205.5	629	19
90	7.0	7.34	185.8	661	32
90	10.6	7.54	162.0	679	41
90	14.1	7.54	132.9	679	45
90	17.6	6.97	95.8	627	44
90	21.1	5.72	50.3	515	34
90	24.6	4.61	0.0	415	0
105	0.0	7.98	256.2	838	0
105	3.5	8.67	241.1	910	15
105	7.0	9.04	224.5	949	27
105	10.6	9.30	205.1	977	36
105	14.1	9.52	184.0	1000	42
105	17.6	9.50	160.5	998	46
105	21.1	9.13	128.3	959	46
105	24.6	8.27	86.3	868	40
105	28.2	7.07	42.4	742	26
105	31.0	5.81	0.0	610	0
120	0.0	9.65	289.6	1158	0
120	3.5	10.39	275.9	1247	13
120	7.0	10.83	261.5	1300	23
120	10.6	11.12	244.9	1334	32
120	14.1	11.42	227.9	1370	38
120	17.6	11.64	208.9	1397	43
120	21.1	11.71	188.5	1405	46
120	24.6	11.48	165.4	1378	48
120	28.2	11.03	135.1	1324	47
120	31.7	9.97	96.1	1196	42
120	35.2	8.76	54.9	1051	30
120	39.4	6.89	0.0	827	0
