DATE (MM/DD/YYYY),HOUR-MST,Avg Global PSP [W/m^2],Avg Direct NIP [W/m^2],Avg Diffuse SB PSP [W/m^2],Avg Avg Wind Speed @ 33ft [m/s],Avg Roof Temp [deg C]
1/1/1991,1,-3.5131,-1.3597,-3.9143,1.3894,2.4330
1/1/1991,2,-3.6089,-1.3406,-4.0197,1.0921,3.5571
1/1/1991,3,-3.2638,-1.4941,-3.8608,2.1064,3.8369
1/1/1991,4,-3.4240,-1.6813,-3.7461,4.7868,4.8320
1/1/1991,5,-3.8778,-1.7901,-3.7260,4.1041,3.9078
1/1/1991,6,-3.6122,-1.7116,-3.8794,3.6760,2.2868
1/1/1991,7,-3.4212,-1.4480,-3.4394,4.2206,2.0727
1/1/1991,8,15.0170,213.4561,4.8044,2.3753,2.4920
1/1/1991,9,143.3932,757.3542,21.4850,2.5781,4.7454
1/1/1991,10,291.8558,916.3908,26.5940,1.4522,8.3327
1/1/1991,11,410.3808,978.2825,28.5069,1.2121,11.5473
1/1/1991,12,470.7000,973.5908,33.3466,1.5531,14.0128
1/1/1991,13,479.5433,988.5400,36.7439,2.4076,12.5113
1/1/1991,14,424.5067,968.0042,34.0782,1.6584,13.3570
1/1/1991,15,317.8917,901.3317,39.0033,1.4859,13.4276
1/1/1991,16,162.8592,708.9150,34.6228,1.0149,12.8099
1/1/1991,17,24.6489,168.8530,11.2756,0.6235,10.4320
1/1/1991,18,-5.5224,-1.3862,-5.2890,1.8138,6.8654
1/1/1991,19,-3.8465,-0.3097,-4.2504,2.9430,6.8006
1/1/1991,20,-4.7803,-1.0986,-5.0647,3.2197,6.3862
1/1/1991,21,-3.9331,-0.2307,-4.0550,2.3042,5.9691
1/1/1991,22,-4.1061,-0.8159,-4.3316,2.7963,5.5369
1/1/1991,23,-3.8992,-1.1566,-4.2324,3.5123,5.1862
1/2/1991,0,-3.3796,-1.4637,-3.8256,4.5482,4.9335
1/2/1991,1,-3.4278,-1.3668,-3.6715,4.3778,5.0363
1/2/1991,2,-2.9787,-1.4235,-2.9388,5.7772,6.7865
1/2/1991,3,-4.6956,-1.7392,-4.9147,2.6929,6.3084
1/2/1991,4,-4.9227,-1.7642,-5.0208,1.5388,4.8714
1/2/1991,5,-4.7194,-1.9376,-4.7350,1.8089,4.1008
1/2/1991,6,-3.8732,-1.4835,-4.0667,1.8131,4.0604
1/2/1991,7,-3.4914,-1.6450,-4.0202,2.8461,5.6652
1/2/1991,8,14.4269,101.5374,7.8902,2.6466,6.0144
1/2/1991,9,128.7467,610.6800,22.7758,2.6415,4.1876
1/2/1991,10,293.0608,861.5067,39.4214,6.9686,-5.4395
1/2/1991,11,412.7842,765.9717,98.1665,5.1599,-6.7664
1/2/1991,12,469.7667,855.3000,79.2779,3.5292,-6.8118
1/2/1991,13,473.5433,891.8458,67.0061,2.5868,-5.7930
1/2/1991,14,414.7775,868.0933,58.5997,1.7731,-4.0136
1/2/1991,15,298.6883,780.4667,52.0515,2.4410,-3.8817
1/2/1991,16,149.7002,584.6242,37.6255,2.1065,-3.9279
1/2/1991,17,17.7535,103.9009,8.6622,1.3723,-5.9841
1/2/1991,18,-3.8247,-1.2068,-3.6928,1.3909,-8.0787
