DATE (MM/DD/YYYY),HOUR-MST,Avg Global CM22 Vent [W/m^2],Avg Direct CH1 [W/m^2],Avg Diffuse CM22 Vent [W/m^2],Avg Zenith Angle [degrees],Avg Azimuth Angle [degrees],Avg Deck Dry Bulb Temp [deg C]
1/1/2004,1,-99999,-0.5148,-1.5368,98.9642,119.3091,5.9512
1/1/2004,2,-99999,-0.6218,-1.5677,98.9642,112.5616,5.1749
1/1/2004,3,-99999,-0.5817,-1.6045,98.9642,112.5573,4.8000
1/1/2004,4,-99999,-0.4947,-1.6949,98.9642,112.5530,5.7153
1/1/2004,5,-99999,-0.6623,-1.5882,98.9642,112.5487,4.7674
1/1/2004,6,-99999,-0.7424,-1.6246,98.9642,112.5443,5.0752
1/1/2004,7,-99999,-0.7117,-1.4745,97.9649,113.3854,4.1741
1/1/2004,8,-99999,213.7320,10.5305,89.1948,121.2026,3.8358
1/1/2004,9,-99999,611.9598,110.7656,80.0642,131.4659,6.7944
1/1/2004,10,-99999,355.2732,204.7752,72.2958,143.1806,7.7690
1/1/2004,11,-99999,515.3229,173.9368,66.5200,156.5530,8.5602
1/1/2004,12,-99999,878.8787,111.9072,63.3339,171.3526,9.6088
1/1/2004,13,-99999,880.4976,89.0502,63.1424,186.7757,9.4167
1/1/2004,14,-99999,730.8545,98.8636,65.9719,201.7081,10.1670
1/1/2004,15,-99999,761.7027,56.0729,71.4561,215.2837,11.0023
1/1/2004,16,-99999,580.4214,88.2247,79.0121,227.2024,10.8327
1/1/2004,17,-99999,5.4664,11.5831,87.9708,237.6300,7.7078
1/1/2004,18,-99999,-0.6263,-0.9970,97.3131,246.1057,6.1289
1/1/2004,19,-99999,-0.5710,-1.0049,98.9642,247.5138,5.4923
1/1/2004,20,-99999,-0.1498,-1.4077,98.9642,247.5184,6.5842
1/1/2004,21,-99999,-0.6503,-1.2183,98.9642,247.5230,7.6895
1/1/2004,22,-99999,-0.2332,-1.4521,98.9642,247.5276,8.4167
1/1/2004,23,-99999,-0.5307,-1.5267,98.9642,247.5323,8.5005
1/2/2004,0,-99999,-0.8362,-1.3990,98.9642,247.5369,7.9357
1/2/2004,1,-99999,-0.5162,-1.4306,98.9642,121.4636,7.2512
1/2/2004,2,-99999,-0.5771,-1.2537,98.9642,112.4537,7.3677
1/2/2004,3,-99999,-0.6493,-1.1827,98.9642,112.4490,6.7351
1/2/2004,4,-99999,-0.5166,-1.2103,98.9642,112.4442,6.1428
1/2/2004,5,-99999,-0.6117,-1.1774,98.9642,112.4395,5.8294
1/2/2004,6,-99999,-0.5489,-1.0297,98.9642,112.4347,5.1492
1/2/2004,7,-99999,-0.5586,-0.8042,97.9771,113.2645,3.9102
1/2/2004,8,-99999,2.5129,18.8351,89.2136,121.0665,3.7516
1/2/2004,9,-99999,88.6685,114.2674,80.0661,131.3265,5.8206
1/2/2004,10,-99999,28.2565,217.0092,72.2767,143.0377,5.9399
1/2/2004,11,-99999,90.8351,244.3065,66.4759,156.4111,6.3257
1/2/2004,12,-99999,81.9266,164.9883,63.2631,171.2208,6.0411
1/2/2004,13,-99999,1.8388,164.7952,63.0468,186.6647,4.9994
1/2/2004,14,-99999,1.9783,111.4753,65.8571,201.6247,2.9740
1/2/2004,15,-99999,77.8791,152.5087,71.3289,215.2278,2.9788
1/2/2004,16,-99999,54.0364,87.4588,78.8786,227.1694,2.7780
1/2/2004,17,-99999,-0.4661,14.9116,87.8329,237.6147,2.2286
1/2/2004,18,-99999,-0.4404,-0.3349,97.2336,246.1529,1.2713
1/2/2004,19,-99999,-0.4979,-0.3157,98.9642,247.6288,-0.7121
1/2/2004,20,-99999,-0.6846,-0.1263,98.9642,247.6338,-2.8737
1/2/2004,21,-99999,-0.1813,-0.2301,98.9642,247.6389,-3.2233
1/2/2004,22,-99999,-0.2804,-0.2984,98.9642,247.6439,-3.1771
1/2/2004,23,-99999,-0.1581,-0.3555,98.9642,247.6490,-3.1083
1/3/2004,0,-99999,-0.5413,-0.3649,98.9642,247.6540,-2.7987
1/3/2004,1,-99999,-0.6766,-0.2502,98.9642,121.3618,-3.3993
1/3/2004,2,-99999,-0.4282,-0.1428,98.9642,112.3357,-5.3107
1/3/2004,3,-99999,-0.1624,-0.1612,98.9642,112.3306,-5.6216
1/3/2004,4,-99999,-0.2185,-0.1539,98.9642,112.3255,-5.7494
1/3/2004,5,-99999,-0.3340,-0.2052,98.9642,112.3203,-5.6439
1/3/2004,6,-99999,-0.0334,-0.1667,98.9642,112.3151,-5.5171
1/3/2004,7,-99999,-0.6689,-0.1599,97.9868,113.1358,-5.4199
1/3/2004,8,-99999,-0.3001,7.4301,89.2262,120.9259,-5.5898
1/3/2004,9,-99999,0.0464,55.1962,80.0615,131.1832,-5.4351
1/3/2004,10,-99999,-0.0073,85.9260,72.2506,142.8919,-5.2873
1/3/2004,11,-99999,0.4785,142.2325,66.4245,156.2675,-4.9928
1/3/2004,12,-99999,0.4256,201.2292,63.1847,171.0890,-4.0603
1/3/2004,13,-99999,-0.2609,228.2297,62.9439,186.5555,-3.9353
1/3/2004,14,-99999,0.3316,202.4295,65.7356,201.5448,-3.7849
1/3/2004,15,-99999,0.2558,134.7529,71.1957,215.1766,-4.0002
1/3/2004,16,-99999,0.0143,72.5465,78.7399,227.1421,-4.0830
1/3/2004,17,-99999,-0.6825,18.9004,87.6908,237.6056,-4.5538
1/3/2004,18,-99999,-0.4997,-0.3691,97.1500,246.2066,-4.8794
1/3/2004,19,-99999,-0.5375,-0.6194,98.9642,247.7538,-5.1839
1/3/2004,20,-99999,-0.6501,-0.4668,98.9642,247.7592,-5.4509
1/3/2004,21,-99999,-0.3185,-0.2971,98.9642,247.7647,-5.9263
1/3/2004,22,-99999,-0.3943,-0.4387,98.9642,247.7701,-5.6569
1/3/2004,23,-99999,-0.5935,-1.0003,98.9642,247.7756,-6.4165
1/4/2004,0,-99999,-0.3817,-0.5442,98.9642,247.7811,-7.1580
1/4/2004,1,-99999,-0.1810,-0.2713,98.9642,123.5108,-6.6672
1/4/2004,2,-99999,-0.4036,-0.2193,98.9642,112.2079,-6.6360
1/4/2004,3,-99999,-0.4223,-0.2348,98.9642,112.2024,-6.8173
1/4/2004,4,-99999,-0.4992,-0.2766,98.9642,112.1968,-7.1868
1/4/2004,5,-99999,-0.3040,-0.4298,98.9642,112.1912,-7.4548
1/4/2004,6,-99999,-0.9908,-0.9588,98.9642,112.1856,-8.6285
1/4/2004,7,-99999,-0.8050,-1.0345,97.9938,112.9993,-9.3490
1/4/2004,8,-99999,76.0921,7.6502,89.2327,120.7808,-9.3710
1/4/2004,9,-99999,557.8097,33.8940,80.0504,131.0361,-6.5075
1/4/2004,10,-99999,876.3588,50.1387,72.2175,142.7433,-5.8256
1/4/2004,11,-99999,998.6737,58.5438,66.3657,156.1225,-5.8222
1/4/2004,12,-99999,1024.9950,62.4386,63.0990,170.9573,-5.1051
1/4/2004,13,-99999,1018.6550,64.5194,62.8338,186.4485,-3.8543
1/4/2004,14,-99999,973.0355,64.6357,65.6074,201.4686,-3.2930
1/4/2004,15,-99999,855.7942,55.3104,71.0566,215.1304,-2.0414
1/4/2004,16,-99999,750.5812,37.6427,78.5961,227.1205,-2.7132
1/4/2004,17,-99999,177.0117,13.5550,87.5444,237.6028,-5.0649
1/4/2004,18,-99999,-0.8936,-0.9959,97.0622,246.2668,-7.4701
1/4/2004,19,-99999,-0.9355,-1.1551,98.9642,247.8886,-7.8539
1/4/2004,20,-99999,-0.7437,-1.1227,98.9642,247.8945,-8.4450
1/4/2004,21,-99999,-0.5466,-0.9691,98.9642,247.9003,-8.9582
1/4/2004,22,-99999,-0.6917,-0.6805,98.9642,247.9062,-9.5595
1/4/2004,23,-99999,-0.4919,-0.9810,98.9642,247.9121,-11.1682
1/5/2004,0,-99999,-0.4775,-1.0770,98.9642,247.9180,-11.1665
1/5/2004,1,-99999,-0.5271,-1.0167,98.9642,123.3963,-11.8128
1/5/2004,2,-99999,-0.5071,-1.0368,98.9642,112.0702,-12.1823
1/5/2004,3,-99999,-0.5155,-1.0832,98.9642,112.0642,-12.2255
1/5/2004,4,-99999,-0.5848,-1.0451,98.9642,112.0583,-12.1423
1/5/2004,5,-99999,-0.6220,-0.9407,98.9642,112.0523,-12.7097
1/5/2004,6,-99999,-0.4671,-1.0624,98.9642,112.0463,-11.8865
1/5/2004,7,-99999,-0.5537,-1.0698,97.9983,112.8552,-11.3865
1/5/2004,8,-99999,247.3397,9.4936,89.2330,120.6313,-11.7492
1/5/2004,9,-99999,772.6517,34.2244,80.0327,130.8854,-8.2437
1/5/2004,10,-99999,925.0995,52.7572,72.1775,142.5920,-12.6238
1/5/2004,11,-99999,963.0018,75.4728,66.2997,155.9760,-18.8405
1/5/2004,12,-99999,856.8482,149.3996,63.0058,170.8260,-19.4390
1/5/2004,13,-99999,164.4032,349.8210,62.7166,186.3432,-18.2570
1/5/2004,14,-99999,18.1466,303.1112,65.4726,201.3963,-17.4542
1/5/2004,15,-99999,165.4988,219.2840,70.9116,215.0891,-17.2393
1/5/2004,16,-99999,311.8358,96.8399,78.4473,227.1046,-17.3355
1/5/2004,17,-99999,127.8570,19.5427,87.3938,237.6061,-18.1050
1/5/2004,18,-99999,-0.8617,-0.6242,96.9700,246.3331,-18.6727
1/5/2004,19,-99999,-0.7420,-0.7777,98.9642,248.0333,-18.8607
1/5/2004,20,-99999,-0.7406,-0.7586,98.9642,248.0395,-18.8678
1/5/2004,21,-99999,-0.6093,-0.7292,98.9642,248.0458,-19.7035
1/5/2004,22,-99999,-0.6260,-0.7089,98.9642,248.0520,-19.8492
1/5/2004,23,-99999,-0.4533,-0.6904,98.9642,248.0583,-20.0908
1/6/2004,0,-99999,-0.4092,-0.6969,98.9642,248.0646,-19.4033
1/6/2004,1,-99999,-0.5323,-0.8456,98.9642,125.5427,-18.9450
1/6/2004,2,-99999,-0.6861,-0.7848,98.9642,111.9227,-18.4087
1/6/2004,3,-99999,-0.7565,-0.6628,98.9642,111.9163,-19.0087
1/6/2004,4,-99999,-0.4783,-0.6088,98.9642,111.9100,-19.7353
1/6/2004,5,-99999,-0.4195,-0.6143,98.9642,111.9036,-19.0727
1/6/2004,6,-99999,-0.4088,-0.4811,98.9642,111.8972,-19.8110
1/6/2004,7,-99999,-0.4035,-0.4945,98.0002,112.7035,-19.3490
1/6/2004,8,-99999,70.8025,8.4078,89.2270,120.4775,-19.0355
1/6/2004,9,-99999,666.9523,49.7365,80.0086,130.7311,-16.3790
1/6/2004,10,-99999,749.2323,85.7583,72.1305,142.4380,-9.9760
1/6/2004,11,-99999,940.7822,104.9338,66.2263,155.8281,-7.1901
1/6/2004,12,-99999,926.1378,109.1701,62.9052,170.6950,-5.7735
1/6/2004,13,-99999,924.2792,98.4882,62.5922,186.2409,-4.9943
1/6/2004,14,-99999,791.6485,107.4167,65.3313,201.3278,-4.7230
1/6/2004,15,-99999,480.1662,78.8856,70.7610,215.0530,-3.5684
1/6/2004,16,-99999,651.6576,56.3914,78.2936,227.0946,-2.9823
1/6/2004,17,-99999,124.5721,16.4923,87.2392,237.6157,-6.0566
1/6/2004,18,-99999,-0.5463,-0.6805,96.8733,246.4056,-7.5565
1/6/2004,19,-99999,-0.4228,-0.7673,98.9642,248.1876,-8.1992
1/6/2004,20,-99999,-0.5856,-0.7678,98.9642,248.1943,-8.3053
1/6/2004,21,-99999,-0.7296,-0.7542,98.9642,248.2009,-8.6887
1/6/2004,22,-99999,-0.6206,-0.7042,98.9642,248.2076,-9.1515
1/6/2004,23,-99999,-0.4846,-0.6329,98.9642,248.2143,-10.3110
1/7/2004,0,-99999,-0.3451,-0.6467,98.9642,248.2210,-9.6590
1/7/2004,1,-99999,-0.3152,-0.5422,98.9642,125.4172,-9.7805
1/7/2004,2,-99999,-0.2850,-0.4828,98.9642,111.7655,-9.7392
1/7/2004,3,-99999,0.4851,-0.9433,98.9642,111.7588,-6.5508
1/7/2004,4,-99999,0.3918,-1.1287,98.9642,111.7520,-2.0136
1/7/2004,5,-99999,-0.1018,-1.1026,98.9642,111.7452,3.1751
1/7/2004,6,-99999,-0.1220,-1.1282,98.9642,111.7384,3.8010
1/7/2004,7,-99999,-0.0834,-1.2121,97.9995,112.5443,4.6483
1/7/2004,8,-99999,-0.2192,12.4813,89.2148,120.3196,5.6473
1/7/2004,9,-99999,51.8466,88.9958,79.9778,130.5733,6.2256
1/7/2004,10,-99999,118.1825,146.0203,72.0765,142.2815,8.0963
1/7/2004,11,-99999,143.4428,199.5622,66.1456,155.6790,8.6698
1/7/2004,12,-99999,69.4798,300.4270,62.7974,170.5644,10.0973
1/7/2004,13,-99999,217.5079,313.4128,62.4608,186.1406,10.1877
