PUMP NAME: SCS_10_440_180_BL
PRICE: 1979
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency
120	0.0	5.5	51.4	665	0
120	14.1	5.7	47.2	678	16
120	28.2	5.8	42.5	700	28
120	42.3	5.9	37.1	709	36
120	56.3	5.9	31.5	710	41
120	70.4	5.7	24.0	682	40
120	84.5	4.9	9.9	586	23
120	91.6	3.3	0.0	390	0
135	0.0	6.6	57.2	890	0
135	14.1	6.7	53.0	902	14
135	28.2	6.9	48.5	925	24
135	42.3	7.0	43.9	942	32
135	56.3	7.0	39.0	949	38
135	70.4	7.0	33.9	945	41
135	84.5	6.8	27.6	917	42
135	98.6	6.2	18.9	832	37
135	116.2	3.9	0.0	521	0
150	0.0	7.6	62.6	1143	0
150	14.1	7.8	59.1	1163	12
150	28.2	8.0	55.4	1193	21
150	42.3	8.1	51.2	1209	29
150	56.3	8.2	47.2	1224	35
150	70.4	8.2	42.4	1233	40
150	84.5	8.2	37.3	1230	42
150	98.6	8.0	31.7	1203	42
150	112.7	7.5	24.5	1127	40
150	126.8	6.4	12.9	956	28
150	140.9	4.4	0.0	663	0
165	0.0	8.9	67.4	1470	0
165	14.1	9.1	64.3	1493	10
165	28.2	9.2	61.1	1510	19
165	42.3	9.3	57.5	1536	26
165	56.3	9.5	53.8	1563	32
165	70.4	9.6	50.0	1581	36
165	84.5	9.6	45.9	1589	40
165	98.6	9.6	41.4	1579	42
165	112.7	9.4	36.3	1546	43
165	126.8	9.0	30.4	1492	42
165	140.9	8.3	22.7	1373	38
165	154.9	6.9	10.6	1140	24
165	165.5	5.0	0.0	823	0
180	0.0	9.9	73.5	1786	0
180	14.1	10.2	70.6	1832	9
180	28.2	10.3	67.5	1850	17
180	42.3	10.4	64.1	1877	24
180	56.3	10.6	60.7	1903	29
180	70.4	10.7	57.2	1926	34
180	84.5	10.8	53.5	1935	38
180	98.6	10.8	49.4	1942	41
180	112.7	10.8	45.0	1939	43
180	126.8	10.7	40.2	1919	43
180	140.9	10.3	34.8	1861	43
180	154.9	9.8	28.7	1769	41
180	169.0	9.0	20.8	1615	36
180	183.1	7.4	10.8	1337	24
180	193.7	5.7	0.0	1033	0
