PUMP NAME: SCS_30_130_120_BL
PRICE: 1587
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency
75	0.0	4.95	124.9	371	0
75	3.5	5.04	116.6	378	18
75	7.0	5.42	107.1	407	30
75	10.6	5.75	97.3	431	39
75	14.1	5.94	84.8	446	44
75	17.6	6.00	69.8	450	45
75	21.1	5.63	50.4	422	41
75	24.6	5.04	25.1	378	27
75	28.2	4.01	0.0	301	0
90	0.0	6.51	149.5	586	0
90	3.5	6.53	142.7	588	14
90	7.0	6.90	134.7	621	25
90	10.6	7.27	126.5	654	33
90	14.1	7.61	117.7	685	40
90	17.6	7.83	107.9	705	44
90	21.1	7.97	97.7	717	47
90	24.6	7.98	83.6	718	47
90	28.2	7.69	67.9	692	45
90	31.7	7.20	49.8	648	40
90	35.2	6.61	29.3	595	28
90	38.7	5.60	7.6	504	9
90	39.8	5.29	0.0	476	0
105	0.0	8.32	171.1	874	0
105	3.5	8.11	165.0	852	11
105	7.0	8.46	158.5	888	21
105	10.6	8.78	151.8	922	28
105	14.1	9.17	144.2	963	34
105	17.6	9.45	137.0	992	40
105	21.1	9.66	128.7	1014	44
105	24.6	9.88	120.4	1037	47
105	28.2	9.95	110.1	1045	48
105	31.7	10.02	98.4	1052	48
105	35.2	9.89	85.5	1038	47
105	38.7	9.54	70.8	1002	45
105	42.3	8.99	55.1	944	40
105	45.8	8.48	37.9	890	32
105	49.3	7.81	18.7	820	18
105	52.8	6.62	0.0	695	0
120	0.0	9.74	192.7	1169	0
120	3.5	9.75	187.2	1170	9
120	7.0	10.07	181.6	1208	17
120	10.6	10.39	175.6	1247	24
120	14.1	10.67	169.2	1280	30
120	17.6	11.03	163.0	1324	35
120	21.1	11.35	156.1	1362	40
120	24.6	11.66	149.1	1399	43
120	28.2	11.84	141.9	1421	46
120	31.7	11.95	134.4	1434	48
120	35.2	12.11	125.8	1453	50
120	38.7	12.21	115.4	1465	50
120	42.3	12.08	104.5	1450	50
120	45.8	11.79	92.4	1415	49
120	49.3	11.44	79.1	1373	46
120	52.8	10.93	65.3	1312	43
120	56.3	10.41	48.2	1249	36
120	59.9	9.73	29.6	1168	25
120	63.4	9.02	8.6	1082	8
120	64.8	8.02	0.0	962	0
