PUMP NAME: SCS_20_190_180_BL
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency
120	0.0	5.08	99.2	610	0
120	3.5	5.10	95.2	612	9
120	7.0	5.12	90.3	614	17
120	10.6	5.13	85.7	616	24
120	14.1	5.10	80.6	612	30
120	17.6	5.02	75.0	602	36
120	24.6	4.80	61.4	576	43
120	28.2	4.55	53.3	546	45
120	31.7	4.21	39.2	505	40
120	36.6	2.83	0.0	340	0
135	0.0	6.02	110.0	813	0
135	7.0	6.09	102.4	822	14
135	10.6	6.11	98.6	825	21
135	14.1	6.11	94.4	825	26
135	21.1	6.02	84.7	813	36
135	24.6	5.94	79.0	802	40
135	28.2	5.81	72.9	784	43
135	35.2	5.41	59.1	730	47
135	38.7	5.11	49.2	690	45
135	42.3	4.58	33.3	618	37
135	46.5	3.37	0.0	455	0
165	0.0	8.27	131.2	1365	0
165	7.0	8.35	125.5	1378	10
165	14.1	8.40	119.3	1386	20
165	21.1	8.41	112.5	1388	28
165	28.2	8.33	104.5	1374	35
165	35.2	8.15	95.3	1345	41
165	42.3	7.88	84.7	1300	45
165	49.3	7.48	71.8	1234	47
165	56.3	6.85	56.3	1130	46
165	59.9	6.42	46.3	1059	43
165	63.4	5.78	32.3	954	35
165	68.3	4.40	0.0	726	0
180	0.0	9.26	141.5	1667	0
180	7.0	9.33	136.1	1679	9
180	14.1	9.39	130.1	1690	18
180	21.1	9.42	123.8	1696	25
180	28.2	9.40	117.1	1692	32
180	38.7	9.15	104.7	1647	40
180	45.8	9.00	95.8	1620	44
180	49.3	8.82	90.5	1588	46
180	56.3	8.41	79.6	1514	48
180	63.4	7.95	66.1	1431	48
180	70.4	7.16	49.1	1289	44
180	73.9	6.58	37.1	1184	38
180	77.5	6.01	16.8	1082	20
180	79.6	4.97	0.0	895	0
