PUMP NAME: SCB_10_150_180_BL
PRICE: 1170 					# in USD
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency
120	0.0	2.16	47.7	259	0
120	7.0	2.23	42.1	268	18
120	14.1	2.29	34.9	275	29
120	21.1	2.27	26.0	272	33
120	28.2	2.01	12.0	241	23
120	32.4	1.52	0.0	182	0
135	0.0	2.58	53.6	348	0
135	7.0	2.64	48.6	356	16
135	14.1	2.71	42.5	366	27
135	21.1	2.75	35.9	371	33
135	28.2	2.69	27.5	363	35
135	35.2	2.43	14.1	328	25
135	40.1	1.83	0.0	247	0
150	0.0	3.00	59.1	450	0
150	7.0	3.08	54.4	462	14
150	14.1	3.13	49.4	470	24
150	21.1	3.18	43.5	477	31
150	28.2	3.18	37.0	477	36
150	35.2	3.13	29.2	470	36
150	42.3	2.88	18.4	432	29
150	49.3	2.11	0.0	317	0
165	0.0	3.45	64.8	569	0
165	7.0	3.51	60.7	579	12
165	14.1	3.58	55.9	591	22
165	21.1	3.63	51.0	599	29
165	28.2	3.66	45.3	604	35
165	35.2	3.67	38.8	606	37
165	42.3	3.60	31.3	594	36
165	49.3	3.36	21.8	554	32
165	56.3	2.69	6.9	444	14
165	59.2	2.39	0.0	394	0
180	0.0	3.95	70.6	711	0
180	7.0	4.01	66.8	722	11
180	14.1	4.10	62.4	738	19
180	21.1	4.14	57.8	745	27
180	28.2	4.19	53.1	754	32
180	35.2	4.23	47.8	761	36
180	42.3	4.23	41.5	761	38
180	49.3	4.15	34.6	747	37
180	56.3	3.91	26.2	704	34
180	63.4	3.42	14.6	616	25
180	70.4	2.69	0.0	484	0
