PUMP NAME: SCS_20_350_240_BL
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency
180	0.0	6.81	95.9	1226	0
180	14.1	7.01	89.6	1262	16
180	28.2	7.19	82.2	1294	29
180	42.3	7.33	74.0	1319	39
180	56.3	7.26	64.6	1307	46
180	70.4	6.92	52.3	1246	48
180	84.5	6.20	35.0	1116	43
180	98.6	4.92	9.7	886	18
180	103.5	4.71	0.0	848	0
195	0.0	7.72	103.9	1505	0
195	14.1	7.87	97.8	1535	15
195	28.2	8.07	91.9	1574	27
195	42.3	8.25	84.1	1609	36
195	56.3	8.27	76.0	1613	43
195	70.4	8.02	66.2	1564	49
195	84.5	7.59	54.4	1480	51
195	98.6	6.78	37.7	1322	46
195	112.7	5.54	13.1	1080	22
195	119.0	5.24	0.0	1022	0
210	0.0	8.65	111.4	1817	0
210	14.1	8.80	105.8	1848	13
210	28.2	9.03	99.4	1896	24
210	42.3	9.22	93.3	1936	33
210	56.3	9.28	86.0	1949	41
210	70.4	9.32	78.2	1957	46
210	84.5	9.11	68.7	1913	50
210	98.6	8.68	56.5	1823	50
210	112.7	7.94	41.0	1667	45
210	126.8	6.75	18.8	1418	27
210	133.8	6.16	6.4	1294	11
210	137.3	5.97	0.0	1254	0
225	0.0	9.70	118.2	2183	0
225	14.1	9.87	113.2	2221	12
225	28.2	10.04	107.2	2259	22
225	42.3	10.26	101.1	2309	30
225	56.3	10.44	94.6	2349	37
225	70.4	10.49	87.3	2360	43
225	84.5	10.34	79.2	2327	47
225	98.6	9.96	69.4	2241	50
225	112.7	9.49	57.2	2135	49
225	126.8	8.71	42.4	1960	45
225	140.9	7.61	22.3	1712	30
225	152.1	6.51	0.0	1465	0
240	0.0	10.48	125.0	2515	0
240	14.1	10.64	119.7	2554	11
240	28.2	10.87	114.6	2609	20
240	42.3	11.10	109.4	2664	28
240	56.3	11.28	103.6	2707	35
240	70.4	11.29	96.9	2710	41
240	84.5	11.31	89.9	2714	46
240	98.6	11.24	81.8	2698	49
240	112.7	10.93	72.2	2623	51
240	126.8	10.44	60.9	2506	50
240	140.9	9.78	47.6	2347	47
240	154.9	8.77	28.0	2105	34
240	169.0	7.51	3.6	1802	6
240	171.1	7.24	0.0	1738	0
