PUMP NAME: SCS_80_70_240_BL
PRICE: 2254
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency
180	0.0	6.80	400.5	1224	0
180	7.0	6.77	317.6	1219	30
180	14.1	6.68	214.2	1202	41
180	21.1	6.20	70.4	1116	22
180	23.9	6.10	0.0	1098	0
195	0.0	7.71	435.3	1503	0
195	7.0	7.76	358.4	1513	27
195	14.1	7.70	267.6	1502	41
195	21.1	7.22	144.2	1408	35
195	27.5	6.85	0.0	1336	0
210	0.0	8.65	462.5	1817	0
210	7.0	8.71	394.8	1829	25
210	14.1	8.62	312.6	1810	40
210	21.1	8.26	212.0	1735	42
210	28.2	7.85	71.2	1649	20
210	31.0	7.70	0.0	1617	0
225	0.0	9.70	496.2	2183	0
225	7.0	9.87	428.1	2221	22
225	14.1	9.65	352.8	2171	37
225	21.1	9.48	262.3	2133	42
225	28.2	9.04	148.4	2034	34
225	35.2	8.62	0.0	1940	0
240	0.0	10.46	526.9	2510	0
240	7.0	10.60	461.8	2544	21
240	14.1	10.42	389.5	2501	36
240	21.1	10.44	306.6	2506	42
240	28.2	9.89	203.6	2374	39
240	35.2	9.56	85.5	2294	21
240	39.4	9.37	0.0	2249	0
