PUMP NAME: SCS_26_80_120Y_BL
PRICE: 1994
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency
60	0.0	3.23	99.9	194	0
60	3.5	3.53	82.1	212	22
60	7.0	3.75	60.2	225	31
60	10.6	3.71	35.0	223	27
60	14.8	3.13	0.0	188	0
75	0.0	4.19	121.5	314	0
75	3.5	4.48	106.0	336	18
75	7.0	4.76	89.7	357	29
75	10.6	4.89	71.2	367	33
75	14.1	4.87	51.2	365	32
75	17.6	4.63	29.1	347	24
75	21.8	4.14	0.0	311	0
90	0.0	5.33	141.6	480	0
90	3.5	5.58	128.3	502	15
90	7.0	5.85	113.9	527	25
90	10.6	6.08	99.9	547	31
90	14.1	6.23	84.8	561	35
90	17.6	6.26	67.8	563	35
90	21.1	6.06	49.6	545	31
90	24.6	5.78	29.7	520	23
90	29.6	5.19	0.0	467	0
105	0.0	6.43	160.9	675	0
105	3.5	6.69	149.5	702	12
105	7.0	6.96	137.7	731	22
105	10.6	7.24	124.9	760	28
105	14.1	7.46	111.2	783	33
105	17.6	7.58	97.6	796	35
105	21.1	7.63	83.1	801	36
105	24.6	7.57	68.1	795	34
105	28.2	7.30	51.3	767	31
105	31.7	6.98	32.2	733	23
105	35.2	6.62	12.3	695	10
105	37.3	6.27	0.0	658	0
120	0.0	7.65	179.0	918	0
120	3.5	7.80	168.7	936	10
120	7.0	8.13	157.9	976	19
120	10.6	8.42	147.6	1010	25
120	14.1	8.67	136.3	1040	30
120	17.6	8.88	124.5	1066	34
120	21.1	9.02	112.1	1082	36
120	24.6	9.10	99.0	1092	36
120	28.2	9.09	85.3	1091	36
120	31.7	8.92	71.1	1070	34
120	35.2	8.65	55.3	1038	31
120	38.7	8.29	38.9	995	25
120	42.3	7.94	20.5	953	15
120	45.8	7.31	0.0	877	0
