PUMP NAME: SCS_8_410_120_BL
PRICE: 1799
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency	
60	0	4.32	30	259	0	
60	14.1	4.55	25.4	273	0.21	
60	28.2	4.66	19.6	280	0.32	
60	42.3	4.37	6.9	262	0.18	
60	47.9	3.91	0	235	0	
75	0	6.03	37.3	452	0	
75	14.1	6.22	33.7	467	0.17	
75	28.2	6.36	29.5	477	0.28	
75	42.3	6.38	24.2	479	0.35	
75	56.3	6.22	17.1	467	0.34	
75	70.4	5.66	5.7	425	0.15	
75	77.5	5.07	0	380	0	
90	0	7.93	43.8	714	0	
90	14.1	8.1	40.8	729	0.13	
90	28.2	8.26	37.5	743	0.23	
90	42.3	8.35	33.9	752	0.31	
90	56.3	8.41	29.8	757	0.36	
90	70.4	8.25	24.7	743	0.38	
90	84.5	7.94	17.4	715	0.34	
90	98.6	7.4	7.9	666	0.19	
90	107.8	6.86	0	617	0	
105	0	9.85	50.6	1034	0	
105	14.1	9.96	48	1046	0.11	
105	28.2	10.23	45.2	1074	0.19	
105	42.3	10.36	42.5	1088	0.27	
105	56.3	10.49	39.3	1101	0.33	
105	70.4	10.55	35.8	1108	0.37	
105	84.5	10.5	31.8	1103	0.4	
105	98.6	10.29	27	1080	0.4	
105	112.7	9.98	21.2	1048	0.37	
105	126.8	9.45	13.6	992	0.28	
105	140.9	8.53	4.5	896	0.12	
105	147.9	7.98	0	838	0	
120	0	11.83	56.4	1420	0	
120	14.1	11.92	54	1430	0.09	
120	28.2	12.14	51.7	1457	0.16	
120	42.3	12.31	49.2	1477	0.23	
120	56.3	12.47	46.6	1496	0.29	
120	70.4	12.62	44	1514	0.33	
120	84.5	12.78	41	1534	0.37	
120	98.6	12.74	37.7	1529	0.4	
120	112.7	12.5	34	1500	0.42	
120	126.8	12.3	30	1476	0.42	
120	140.9	11.97	25.7	1436	0.41	
120	154.9	11.51	20.9	1381	0.38	
120	169	10.82	15	1298	0.32	
120	183.1	9.73	6.8	1168	0.17	
120	192.3	9.06	0	1087	0	
