PUMP NAME: SCS_17_280_180_BL
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency
135	0.0	6.59	95.4	890	0
135	7.0	6.73	91.3	909	12
135	14.1	6.84	86.6	923	22
135	21.1	6.99	81.8	944	30
135	28.2	7.08	76.2	956	37
135	35.2	7.10	70.3	959	42
135	42.3	7.00	63.1	945	46
135	49.3	6.76	54.8	913	48
135	56.3	6.41	44.2	865	47
135	63.4	5.88	31.5	794	41
135	70.4	5.04	15.9	680	27
135	75.4	4.62	0.0	624	0
150	0.0	7.77	106.5	1166	0
150	7.0	7.90	101.9	1185	10
150	14.1	8.04	97.5	1206	19
150	21.1	8.12	92.5	1218	26
150	28.2	8.19	87.3	1229	33
150	35.2	8.27	82.1	1241	38
150	42.3	8.28	76.4	1242	42
150	49.3	8.17	69.7	1226	46
150	56.3	8.03	62.6	1205	48
150	63.4	7.63	54.7	1145	49
150	70.4	7.17	44.4	1076	48
150	77.5	6.64	30.3	996	38
150	84.5	5.93	13.7	890	21
150	89.4	5.34	0.0	801	0
165	0.0	9.02	115.8	1488	0
165	7.0	9.18	111.8	1515	8
165	14.1	9.34	107.9	1541	16
165	21.1	9.44	103.9	1558	23
165	28.2	9.57	99.7	1579	29
165	35.2	9.66	95.0	1594	34
165	42.3	9.73	90.2	1605	39
165	49.3	9.76	85.0	1610	43
165	56.3	9.69	79.3	1599	46
165	63.4	9.56	72.9	1577	48
165	70.4	9.36	66.1	1544	49
165	77.5	9.02	57.7	1488	49
165	84.5	8.68	47.4	1432	46
165	91.6	8.09	34.6	1335	39
165	98.6	7.52	19.7	1241	26
165	105.6	6.31	0.0	1041	0
180	0.0	10.14	124.6	1825	0
180	7.0	10.30	120.7	1854	7
180	14.1	10.43	116.7	1877	14
180	21.1	10.54	112.8	1897	21
180	28.2	10.67	108.6	1921	26
180	35.2	10.75	104.4	1935	31
180	42.3	10.83	99.8	1949	35
180	49.3	10.88	95.2	1958	39
180	56.3	10.88	90.1	1958	42
180	63.4	10.82	85.0	1948	45
180	70.4	10.70	79.0	1926	47
180	77.5	10.49	73.0	1888	49
180	84.5	10.28	66.0	1850	49
180	91.6	9.76	58.1	1757	49
180	98.6	9.39	49.7	1690	47
180	105.6	8.90	39.2	1602	42
180	112.7	8.41	27.5	1514	33
180	119.7	7.62	12.9	1372	18
180	124.7	7.08	0.0	1274	0
