PUMP NAME: SCS_22_300_240_BL
PRICE: 2068
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency
180	0.0	7.21	112.1	1298	0
180	14.1	7.30	103.1	1314	18
180	28.2	7.31	93.2	1316	33
180	42.3	7.07	80.7	1273	44
180	56.3	6.57	63.4	1183	49
180	70.4	5.35	34.4	963	41
180	77.5	3.58	0.0	644	0
195	0.0	8.09	120.5	1578	0
195	14.1	8.26	112.6	1611	16
195	28.2	8.26	103.0	1611	29
195	42.3	8.14	92.2	1587	40
195	56.3	7.70	78.6	1502	48
195	70.4	6.96	60.9	1357	52
195	84.5	5.21	27.5	1016	37
195	91.6	3.97	0.0	774	0
210	0.0	9.09	129.0	1909	0
210	14.1	9.19	121.2	1930	14
210	28.2	9.23	113.0	1938	27
210	42.3	9.22	104.0	1936	37
210	56.3	9.03	92.8	1896	45
210	70.4	8.58	78.0	1802	50
210	84.5	7.83	57.9	1644	49
210	98.6	5.98	24.5	1256	31
210	105.6	4.56	0.0	958	0
225	0.0	10.34	138.5	2327	0
225	14.1	10.39	130.9	2338	13
225	28.2	10.41	122.6	2342	24
225	42.3	10.38	114.1	2336	34
225	56.3	10.25	104.7	2306	42
225	70.4	9.79	92.3	2203	48
225	84.5	9.20	76.7	2070	51
225	98.6	8.25	57.0	1856	49
225	112.7	6.10	22.4	1373	30
225	119.7	4.99	0.0	1123	0
240	0.0	11.03	145.5	2647	0
240	14.1	11.13	138.3	2671	12
240	28.2	11.19	131.0	2686	22
240	42.3	11.22	123.1	2693	32
240	56.3	11.21	114.8	2690	39
240	70.4	11.02	104.6	2645	45
240	84.5	10.61	92.1	2546	50
240	98.6	10.08	76.0	2419	51
240	112.7	9.09	55.0	2182	46
240	126.8	6.90	21.1	1656	26
240	133.8	5.74	0.0	1378	0
