PUMP NAME: SCS_10_210_210Y_BL
PRICE: 1994
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency
60	0	3.31	41.4	199	0
60	7	3.35	36.5	201	21
60	14.1	3.4	30.2	204	34
60	21.1	3.35	22.2	201	38
60	28.2	2.67	12.6	160	36
60	35.2	2.17	0	130	0
75	0	4.3	50.1	323	0
75	7	4.33	45.9	325	16
75	14.1	4.39	40.9	329	29
75	21.1	4.42	35.3	332	37
75	28.2	4.39	29	329	41
75	35.2	4.14	20.6	311	38
75	42.3	3.45	10.7	259	28
75	47.9	2.79	0	209	0
90	0	5.42	58.7	488	0
90	7	5.45	54.9	491	13
90	14.1	5.5	50.6	495	24
90	21.1	5.6	46.3	504	32
90	28.2	5.67	41.4	510	37
90	35.2	5.65	35.7	509	40
90	42.3	5.47	29	492	41
90	49.3	5.08	21.3	457	38
90	56.3	4.27	11.5	384	28
90	62.7	3.42	0	308	0
105	0	6.56	66	689	0
105	7	6.61	62.9	694	10
105	14.1	6.68	59.1	701	19
105	21.1	6.74	55.2	708	27
105	28.2	6.8	50.9	714	33
105	35.2	6.85	46.4	719	37
105	42.3	6.84	41.5	718	40
105	49.3	6.78	36.3	712	41
105	56.3	6.53	30.4	686	41
105	63.4	6.09	23.4	639	38
105	70.4	5.43	14.2	570	29
105	77.5	4.58	2.4	481	6
105	78.9	4.12	0	433	0
120	0	7.77	73.6	932	0
120	7	7.82	70.6	938	9
120	14.1	7.91	67.4	949	16
120	21.1	7.98	63.9	958	23
120	28.2	8.07	60.4	968	29
120	35.2	8.11	56.5	973	33
120	42.3	8.15	52.4	978	37
120	49.3	8.15	48.1	978	40
120	56.3	8.11	43.4	973	41
120	63.4	7.98	38.3	958	41
120	70.4	7.69	32.6	923	41
120	77.5	7.25	25.9	870	38
120	84.5	6.65	18.6	798	32
120	91.6	5.92	10.7	710	22
120	100	5	0	600	0
