PUMP NAME: SCS_18_105_120Y_BL
PRICE: 1532
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency
60	0.0	2.56	72.6	154	0
60	3.5	2.63	63.7	158	23
60	7.0	2.72	52.2	163	37
60	10.6	2.53	34.8	152	40
60	14.1	1.92	0.0	115	0
75	0.0	3.44	86.1	258	0
75	3.5	3.52	78.8	264	17
75	7.0	3.63	70.3	272	30
75	10.6	3.63	60.3	272	38
75	14.1	3.51	48.5	263	42
75	17.6	3.21	31.5	241	38
75	21.1	2.49	0.0	187	0
90	0.0	4.23	101.6	381	0
90	3.5	4.28	94.9	385	14
90	7.0	4.42	87.7	398	25
90	10.6	4.56	79.5	410	33
90	14.1	4.56	70.6	410	40
90	17.6	4.41	60.1	397	44
90	21.1	4.18	48.0	376	44
90	24.6	3.84	32.1	346	37
90	28.9	3.07	0.0	276	0
105	0.0	5.21	115.6	547	0
105	3.5	5.29	109.6	555	11
105	7.0	5.35	103.1	562	21
105	10.6	5.49	96.2	576	29
105	14.1	5.56	89.0	584	35
105	17.6	5.57	81.3	585	40
105	21.1	5.48	72.8	575	44
105	24.6	5.33	63.9	560	46
105	28.2	5.09	53.3	534	46
105	31.7	4.69	38.5	492	40
105	37.3	3.68	0.0	386	0
120	0.0	6.10	129.1	732	0
120	3.5	6.14	123.8	737	10
120	7.0	6.24	118.1	749	18
120	10.6	6.42	112.1	770	25
120	14.1	6.51	105.4	781	31
120	17.6	6.57	98.8	788	36
120	21.1	6.58	91.8	790	40
120	24.6	6.52	84.3	782	43
120	28.2	6.42	76.9	770	46
120	31.7	6.22	68.7	746	48
120	35.2	5.99	59.0	719	47
120	38.7	5.68	46.9	682	43
120	42.3	5.36	30.5	643	33
120	47.2	4.48	0.0	538	0
