PUMP NAME: SCS_150_37_240_BL
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency
180	0.0	7.4	808	1336	0
180	1.4	7.3	758	1312	13
180	2.9	7.2	693	1287	25
180	4.3	7.0	618	1251	35
180	5.7	6.6	520	1179	41
180	7.2	6.2	408	1111	43
180	8.6	5.7	283	1028	39
180	9.9	5.4	125	967	21
180	10.9	5.1	0	913	0
195	0.0	8.2	871	1601	0
195	1.5	8.1	825	1583	13
195	2.9	8.1	772	1570	23
195	4.2	8.0	709	1550	32
195	5.7	7.7	628	1496	39
195	7.0	7.3	544	1414	44
195	8.5	6.8	440	1330	46
195	9.9	6.3	317	1236	41
195	11.3	6.0	171	1172	27
195	12.7	5.6	0	1082	0
210	0.0	9.1	928	1919	0
210	1.5	9.1	887	1903	11
210	2.8	9.0	840	1886	20
210	4.3	8.9	784	1871	29
210	5.8	8.8	715	1844	37
210	7.0	8.5	646	1789	42
210	8.5	8.0	558	1678	46
210	9.9	7.6	453	1602	45
210	11.3	7.2	340	1502	42
210	12.7	6.9	209	1447	30
210	14.4	6.3	0	1323	0
225	0.0	10.4	993	2342	0
225	1.5	10.3	950	2324	10
225	2.8	10.2	908	2297	18
225	4.3	10.1	856	2270	26
225	5.8	10.0	794	2241	33
225	7.0	9.7	735	2189	39
225	8.5	9.3	653	2095	43
225	9.9	8.9	564	2003	45
225	11.1	8.5	478	1906	46
225	12.3	7.9	393	1784	44
225	14.1	7.7	243	1733	32
225	15.5	7.3	111	1643	17
225	16.6	6.9	0	1548	0
240	0.0	11.2	1050	2681	0
240	1.5	11.1	1009	2662	9
240	2.8	10.9	967	2623	17
240	4.3	10.8	917	2597	25
240	5.8	10.7	861	2578	31
240	7.0	10.6	808	2542	37
240	8.5	10.4	738	2489	41
240	9.9	9.9	661	2371	45
240	11.3	9.5	575	2280	46
240	12.7	9.1	482	2191	46
240	14.1	8.6	383	2071	42
240	15.5	8.4	275	2018	34
240	16.9	8.1	151	1942	22
240	18.3	7.6	0	1817	0
