PUMP NAME: SCS_14_370_240_BL
PRICE: 2042
# '.' are mandatory inputs that should be replaced by specifications or the line should be removed. 
# 'nan' are optional input.
# Units for columns are in the order: 
# [V]	[m]	[A]	[L/min]	[W]	[no unit]
voltage	tdh	current	flow	power	efficiency
180	0.0	6.0	71.4	1076	0
180	14.1	6.0	66.3	1080	14
180	28.2	6.0	60.6	1078	26
180	42.3	5.9	54.2	1066	35
180	56.3	5.7	46.8	1030	42
180	70.4	5.4	37.6	968	45
180	84.5	4.7	23.7	848	38
180	94.4	3.1	0.0	551	0
195	0.0	6.7	76.9	1299	0
195	14.1	6.7	72.3	1308	13
195	28.2	6.7	67.4	1312	24
195	42.3	6.7	61.7	1310	32
195	56.3	6.7	55.3	1303	39
195	70.4	6.4	47.7	1250	44
195	84.5	6.0	38.1	1160	45
195	98.6	5.2	23.9	1006	38
195	109.9	3.4	0.0	655	0
210	0.0	7.5	82.7	1575	0
210	14.1	7.6	78.4	1590	11
210	28.2	7.6	73.9	1598	21
210	42.3	7.6	69.1	1598	30
210	56.3	7.6	63.3	1590	37
210	70.4	7.5	57.1	1569	42
210	84.5	7.2	50.0	1514	46
210	98.6	6.7	42.0	1415	48
210	112.7	6.1	27.9	1279	40
210	126.1	3.9	0.0	809	0
225	0.0	8.4	87.8	1888	0
225	14.1	8.4	84.1	1892	10
225	28.2	8.4	79.9	1895	19
225	42.3	8.4	75.2	1890	27
225	56.3	8.4	70.0	1879	34
225	70.4	8.3	64.6	1856	40
225	84.5	8.1	58.3	1823	44
225	98.6	7.8	51.1	1746	47
225	112.7	7.3	42.7	1634	48
225	126.8	6.5	28.3	1458	40
225	144.4	4.2	0.0	941	0
240	0.0	9.2	93.0	2206	0
240	14.1	9.2	89.4	2201	9
240	28.2	9.2	85.5	2213	18
240	42.3	9.2	81.3	2218	25
240	56.3	9.3	76.6	2220	32
240	70.4	9.2	71.7	2215	37
240	84.5	9.2	65.9	2201	41
240	98.6	9.0	59.5	2153	45
240	112.7	8.6	52.7	2071	47
240	126.8	8.1	44.4	1944	47
240	140.9	7.4	32.2	1778	42
240	160.6	4.6	0.0	1106	0
